Unnamed: 0,2021-06-14 20:11:51.400090,2021-06-15 12:24:28.087918,2021-06-17 17:00:21.483857,2021-06-17 17:05:02.156113,2021-06-18 13:05:02.816042,2021-06-19 09:06:51.224857
0,"1, Джарахов, Markul, Я в моменте","1, BRANYA, MACAN, Пополам","1, BRANYA, MACAN, Пополам","1, BRANYA, MACAN, Пополам","1, BRANYA, MACAN, Пополам","1, BRANYA, MACAN, Пополам"
1,"2, HammAli & Navai, Птичка","2, Джарахов, Markul, Я в моменте","2, Джарахов, Markul, Я в моменте","2, Джарахов, Markul, Я в моменте","2, Джарахов, Markul, Я в моменте","2, Джарахов, Markul, Я в моменте"
2,"3, Mekhman, Копия пиратская","3, HammAli & Navai, Птичка","3, HammAli & Navai, Птичка","3, HammAli & Navai, Птичка","3, HammAli & Navai, Птичка","3, HammAli & Navai, Птичка"
3,"4, Элджей, Candy Flip","4, Mekhman, Копия пиратская","4, Mekhman, Копия пиратская","4, Mekhman, Копия пиратская","4, Mekhman, Копия пиратская","4, Mekhman, Копия пиратская"
4,"5, Баста, Ты была права","5, Элджей, Candy Flip","5, Элджей, Candy Flip","5, Элджей, Candy Flip","5, Элджей, Candy Flip","5, Элджей, Candy Flip"
5,"6, Miyagi & Andy Panda feat. TumaniYO, Оттепель","6, Баста, Ты была права","6, Баста, Ты была права","6, Баста, Ты была права","6, Баста, Ты была права","6, Minelli, Rampampam"
6,"7, GAYAZOV$ BROTHER$, Filatov & Karas, Пошла жара","7, Miyagi & Andy Panda feat. TumaniYO, Оттепель","7, Miyagi & Andy Panda feat. TumaniYO, Оттепель","7, Miyagi & Andy Panda feat. TumaniYO, Оттепель","7, Minelli, Rampampam","7, Баста, Ты была права"
7,"8, DEAD BLONDE, Мальчик на девятке","8, GAYAZOV$ BROTHER$, Filatov & Karas, Пошла жара","8, Måneskin, Beggin'","8, Måneskin, Beggin'","8, Måneskin, Beggin'","8, Måneskin, Beggin'"
8,"9, 10AGE, Нету интереса","9, DEAD BLONDE, Мальчик на девятке","9, Minelli, Rampampam","9, Minelli, Rampampam","9, Miyagi & Andy Panda feat. TumaniYO, Оттепель","9, GAYAZOV$ BROTHER$, Filatov & Karas, Пошла жара"
9,"10, Miyagi & Andy Panda, Патрон","10, 10AGE, Нету интереса","10, GAYAZOV$ BROTHER$, Filatov & Karas, Пошла жара","10, GAYAZOV$ BROTHER$, Filatov & Karas, Пошла жара","10, GAYAZOV$ BROTHER$, Filatov & Karas, Пошла жара","10, Miyagi & Andy Panda feat. TumaniYO, Оттепель"
10,"11, Ollane feat. Miyagi & Andy Panda, Where Are You","11, Måneskin, Beggin'","11, Goro, Дорогу молодым","11, Goro, Дорогу молодым","11, Goro, Дорогу молодым","11, Goro, Дорогу молодым"
11,"12, MORGENSHTERN, ДУЛО","12, Miyagi & Andy Panda, Патрон","12, 10AGE, Нету интереса","12, 10AGE, Нету интереса","12, 10AGE, Нету интереса","12, MORGENSHTERN, ARISTOCRAT"
12,"13, Måneskin, Beggin'","13, Minelli, Rampampam","13, Miyagi & Andy Panda, Патрон","13, Miyagi & Andy Panda, Патрон","13, MORGENSHTERN, ARISTOCRAT","13, 10AGE, Пушка"
13,"14, Ramil', Сон","14, The Limba, Скриптонит, Ронин","14, DEAD BLONDE, Мальчик на девятке","14, DEAD BLONDE, Мальчик на девятке","14, Miyagi & Andy Panda, Патрон","14, 10AGE, Нету интереса"
14,"15, The Limba, Скриптонит, Ронин","15, Ollane feat. Miyagi & Andy Panda, Where Are You","15, The Limba, Скриптонит, Ронин","15, The Limba, Скриптонит, Ронин","15, DEAD BLONDE, Мальчик на девятке","15, Miyagi & Andy Panda, Патрон"
15,"16, Minelli, Rampampam","16, MORGENSHTERN, ДУЛО","16, Ollane feat. Miyagi & Andy Panda, Where Are You","16, Ollane feat. Miyagi & Andy Panda, Where Are You","16, The Limba, Скриптонит, Ронин","16, DEAD BLONDE, Мальчик на девятке"
16,"17, Султан Лагучев, Горький вкус","17, Goro, Дорогу молодым","17, Ramil', Сон","17, Ramil', Сон","17, Ollane feat. Miyagi & Andy Panda, Where Are You","17, Ramil', Сон"
17,"18, Goro, Дорогу молодым","18, Ramil', Сон","18, MORGENSHTERN, ДУЛО","18, MORGENSHTERN, ДУЛО","18, Ramil', Сон","18, MORGENSHTERN, ДУЛО"
18,"19, MORGENSHTERN, SHOW","19, MORGENSHTERN, SHOW","19, MORGENSHTERN, SHOW","19, MORGENSHTERN, SHOW","19, MORGENSHTERN, ДУЛО","19, Ollane feat. Miyagi & Andy Panda, Where Are You"
19,"20, DEAD BLONDE, Бесприданница","20, Султан Лагучев, Горький вкус","20, MORGENSHTERN, ARISTOCRAT","20, MORGENSHTERN, ARISTOCRAT","20, MORGENSHTERN, SHOW","20, Султан Лагучев, Горький вкус"
20,"21, Леша Свик, Сиреневый закат","21, DEAD BLONDE, Бесприданница","21, DEAD BLONDE, Бесприданница","21, DEAD BLONDE, Бесприданница","21, Султан Лагучев, Горький вкус","21, MORGENSHTERN, SHOW"
21,"22, MORGENSHTERN, Imanbek, Fetty Wap feat. KDDK, Leck","22, Леша Свик, Сиреневый закат","22, Султан Лагучев, Горький вкус","22, Султан Лагучев, Горький вкус","22, DEAD BLONDE, Бесприданница","22, Jah Khalib, Следуй за мной"
22,"23, Dabro, На часах ноль-ноль","23, Просто Вопрос, Я даю тебе любовь","23, Просто Вопрос, Я даю тебе любовь","23, Просто Вопрос, Я даю тебе любовь","23, Просто Вопрос, Я даю тебе любовь","23, DEAD BLONDE, Бесприданница"
23,"24, Просто Вопрос, Я даю тебе любовь","24, MORGENSHTERN, Imanbek, Fetty Wap feat. KDDK, Leck","24, Леша Свик, Сиреневый закат","24, Леша Свик, Сиреневый закат","24, Леша Свик, Сиреневый закат","24, The Limba, Скриптонит, Ронин"
24,"25, Måneskin, I WANNA BE YOUR SLAVE","25, Dabro, На часах ноль-ноль","25, Måneskin, I WANNA BE YOUR SLAVE","25, Måneskin, I WANNA BE YOUR SLAVE","25, Måneskin, I WANNA BE YOUR SLAVE","25, Просто Вопрос, Я даю тебе любовь"
25,"26, MAYOT, Снег","26, Måneskin, I WANNA BE YOUR SLAVE","26, MORGENSHTERN, Imanbek, Fetty Wap feat. KDDK, Leck","26, MORGENSHTERN, Imanbek, Fetty Wap feat. KDDK, Leck","26, MORGENSHTERN, Imanbek, Fetty Wap feat. KDDK, Leck","26, Тима Белорусских, Под Звездопадом"
26,"27, Artik & Asti, Истеричка","27, MAYOT, Снег","27, Dabro, На часах ноль-ноль","27, Dabro, На часах ноль-ноль","27, Dabro, На часах ноль-ноль","27, Måneskin, I WANNA BE YOUR SLAVE"
27,"28, MORGENSHTERN, SODA LUV, blago white, OG Buda, MAYOT, Cristal & МОЁТ","28, Artik & Asti, Истеричка","28, MAYOT, Снег","28, MAYOT, Снег","28, MORGENSHTERN, SODA LUV, blago white, OG Buda, MAYOT, Cristal & МОЁТ","28, MORGENSHTERN, Imanbek, Fetty Wap feat. KDDK, Leck"
28,"29, NLO, Не грусти","29, MORGENSHTERN, SODA LUV, blago white, OG Buda, MAYOT, Cristal & МОЁТ","29, MORGENSHTERN, SODA LUV, blago white, OG Buda, MAYOT, Cristal & МОЁТ","29, MORGENSHTERN, SODA LUV, blago white, OG Buda, MAYOT, Cristal & МОЁТ","29, MAYOT, Снег","29, Dabro, На часах ноль-ноль"
29,"30, Ханза, Ramil', Плачь и Танцуй","30, NLO, Не грусти","30, Moreart feat. IHI, Я буду е***ь ","30, Moreart feat. IHI, Я буду е***ь ","30, Moreart feat. IHI, Я буду е***ь ","30, Леша Свик, Сиреневый закат"
30,"31, The Hatters feat. Джарахов, Я делаю шаг (feat. Джарахов)","31, Zivert, Рокки","31, Zivert, Рокки","31, Zivert, Рокки","31, Zivert, Рокки","31, Galibri & Mavik, Федерико Феллини"
31,"32, Måneskin, ZITTI E BUONI","32, NLO, Напиваюсь","32, NLO, Напиваюсь","32, NLO, Напиваюсь","32, Måneskin, ZITTI E BUONI","32, Ганвест, Дурная"
32,"33, NLO, Напиваюсь","33, Ханза, Ramil', Плачь и Танцуй","33, Artik & Asti, Истеричка","33, Artik & Asti, Истеричка","33, Galibri & Mavik, Федерико Феллини","33, MORGENSHTERN, SODA LUV, blago white, OG Buda, MAYOT, Cristal & МОЁТ"
33,"34, Элджей, Первая Полоса","34, The Hatters feat. Джарахов, Я делаю шаг (feat. Джарахов)","34, NLO, Не грусти","34, NLO, Не грусти","34, Artik & Asti, Истеричка","34, Moreart feat. IHI, Я буду е***ь "
34,"35, Zivert, Рокки","35, Moreart feat. IHI, Я буду е***ь","35, Ханза, Ramil', Плачь и Танцуй","35, Ханза, Ramil', Плачь и Танцуй","35, NLO, Не грусти","35, Artik & Asti, Истеричка"
35,"36, 104 feat. Miyagi, Скриптонит, НЕ ЖАЛЬ (feat. Miyagi & Скриптонит)","36, Элджей, Первая Полоса","36, ooes, зима","36, ooes, зима","36, Ханза, Ramil', Плачь и Танцуй","36, MAYOT, Снег"
36,"37, Moreart feat. IHI, Я буду е***ь","37, 104 feat. Miyagi, Скриптонит, НЕ ЖАЛЬ (feat. Miyagi & Скриптонит)","37, Элджей, Первая Полоса","37, Элджей, Первая Полоса","37, NLO, Напиваюсь","37, NLO, Не грусти"
37,"38, Лилу45, Восемь","38, Måneskin, ZITTI E BUONI","38, MORGENSHTERN, OLALA","38, MORGENSHTERN, OLALA","38, 104 feat. Miyagi, Скриптонит, НЕ ЖАЛЬ (feat. Miyagi & Скриптонит)","38, Ханза, Ramil', Плачь и Танцуй"
38,"39, MORGENSHTERN, OLALA","39, Лилу45, Восемь","39, 104 feat. Miyagi, Скриптонит, НЕ ЖАЛЬ (feat. Miyagi & Скриптонит)","39, 104 feat. Miyagi, Скриптонит, НЕ ЖАЛЬ (feat. Miyagi & Скриптонит)","39, MORGENSHTERN, OLALA","39, 104 feat. Miyagi, Скриптонит, НЕ ЖАЛЬ (feat. Miyagi & Скриптонит)"
39,"40, Miyagi & Andy Panda, Minor","40, MORGENSHTERN, OLALA","40, The Hatters feat. Джарахов, Я делаю шаг (feat. Джарахов)","40, The Hatters feat. Джарахов, Я делаю шаг (feat. Джарахов)","40, Элджей, Первая Полоса","40, MORGENSHTERN, OLALA"
40,"41, MORGENSHTERN, ARISTOCRAT","41, MORGENSHTERN, ARISTOCRAT","41, Måneskin, ZITTI E BUONI","41, Måneskin, ZITTI E BUONI","41, The Hatters feat. Джарахов, Я делаю шаг (feat. Джарахов)","41, Måneskin, ZITTI E BUONI"
41,"42, SEEMEE feat. SODA LUV, Голодный пёс","42, Miyagi & Andy Panda, Minor","42, Galibri & Mavik, Федерико Феллини","42, Galibri & Mavik, Федерико Феллини","42, Miyagi & Andy Panda, Minor","42, NLO, Напиваюсь"
42,"43, Masked Wolf, Astronaut In The Ocean","43, SEEMEE feat. SODA LUV, Голодный пёс","43, Лилу45, Восемь","43, Лилу45, Восемь","43, Лилу45, Восемь","43, Miyagi & Andy Panda, Minor"
43,"44, Miyagi & Andy Panda, Там ревели горы","44, Masked Wolf, Astronaut In The Ocean","44, Miyagi & Andy Panda, Minor","44, Miyagi & Andy Panda, Minor","44, RAIKAHO, Soul, Из чёрного мерина (by Atlanta)","44, The Hatters feat. Джарахов, Я делаю шаг (feat. Джарахов)"
44,"45, МОТ, JONY, Лилии","45, МОТ, JONY, Лилии","45, SEEMEE feat. SODA LUV, Голодный пёс","45, SEEMEE feat. SODA LUV, Голодный пёс","45, SEEMEE feat. SODA LUV, Голодный пёс","45, Лилу45, Восемь"
45,"46, SODA LUV, WHY BERRY, Бигасс","46, ooes, зима","46, RAIKAHO, Soul, Из чёрного мерина (by Atlanta)","46, RAIKAHO, Soul, Из чёрного мерина (by Atlanta)","46, ooes, зима","46, Миша Марвин, Девочка, не бойся"
46,"47, MORGENSHTERN, PABLO","47, Miyagi & Andy Panda, Там ревели горы","47, SODA LUV, WHY BERRY, Бигасс","47, SODA LUV, WHY BERRY, Бигасс","47, Miyagi & Andy Panda, Там ревели горы","47, Элджей, Первая Полоса"
47,"48, BODIEV, Крузак 200","48, RAIKAHO, Soul, Из чёрного мерина (by Atlanta)","48, Masked Wolf, Astronaut In The Ocean","48, Masked Wolf, Astronaut In The Ocean","48, Masked Wolf, Astronaut In The Ocean","48, SEEMEE feat. SODA LUV, Голодный пёс"
48,"49, Скриптонит, Будьте здоровы","49, SODA LUV, WHY BERRY, Бигасс","49, MORGENSHTERN, DINERO","49, MORGENSHTERN, DINERO","49, Скриптонит, Райда, Baby mama","49, Zivert, Рокки"
49,"50, Хабиб, Ягода малинка","50, Скриптонит, Будьте здоровы","50, Miyagi & Andy Panda, Там ревели горы","50, Miyagi & Andy Panda, Там ревели горы","50, SODA LUV, WHY BERRY, Бигасс","50, RAIKAHO, Soul, Из чёрного мерина (by Atlanta)"
50,"51, SLAVA MARLOW, ТЫ ГОРИШЬ КАК ОГОНЬ","51, MORGENSHTERN, PABLO","51, МОТ, JONY, Лилии","51, МОТ, JONY, Лилии","51, MORGENSHTERN, DINERO","51, Miyagi & Andy Panda, Там ревели горы"
51,"52, ooes, зима","52, Jamik, PUSSYKILLER, Франция","52, Асия, Аня Pokrov, Любовь с картинки","52, Асия, Аня Pokrov, Любовь с картинки","52, МОТ, JONY, Лилии","52, Masked Wolf, Astronaut In The Ocean"
52,"53, RAIKAHO, Soul, Из чёрного мерина (by Atlanta)","53, BODIEV, Крузак 200","53, MORGENSHTERN, PABLO","53, MORGENSHTERN, PABLO","53, Клава Кока, Руки Вверх, Нокаут","53, Скриптонит, Райда, Baby mama"
53,"54, Jamik, PUSSYKILLER, Франция","54, Асия, Аня Pokrov, Любовь с картинки","54, Скриптонит, Райда, Baby mama","54, Скриптонит, Райда, Baby mama","54, MORGENSHTERN, PABLO","54, Клава Кока, Руки Вверх, Нокаут"
54,"55, Клава Кока, Руки Вверх, Нокаут","55, Клава Кока, Руки Вверх, Нокаут","55, SODA LUV feat. SQWOZ BAB, КАЗАНТИП","55, SODA LUV feat. SQWOZ BAB, КАЗАНТИП","55, SODA LUV feat. SQWOZ BAB, КАЗАНТИП","55, МОТ, JONY, Лилии"
55,"56, SODA LUV feat. SQWOZ BAB, КАЗАНТИП","56, SODA LUV feat. SQWOZ BAB, КАЗАНТИП","56, Клава Кока, Руки Вверх, Нокаут","56, Клава Кока, Руки Вверх, Нокаут","56, Асия, Аня Pokrov, Любовь с картинки","56, MORGENSHTERN, PABLO"
56,"57, MORGENSHTERN, DINERO","57, Galibri & Mavik, Федерико Феллини","57, Скриптонит, Будьте здоровы","57, Скриптонит, Будьте здоровы","57, Jamik, PUSSYKILLER, Франция","57, MORGENSHTERN, DINERO"
57,"58, Karna.val, Ромашки","58, HENSY, PIZZA, Неидеальная","58, Jamik, PUSSYKILLER, Франция","58, Jamik, PUSSYKILLER, Франция","58, Скриптонит, Будьте здоровы","58, SODA LUV, WHY BERRY, Бигасс"
58,"59, Idris & Leos, Вечер пятницы","59, Idris & Leos, Вечер пятницы","59, МОТ, LYRIQ, Не Бруклин","59, МОТ, LYRIQ, Не Бруклин","59, BODIEV, Крузак 200","59, ooes, зима"
