Unnamed: 0,Unnamed: 0.1,2021-06-15 15:56:43.573872,2021-06-15 17:07:16.845472,2021-06-17 10:04:51.761535,2021-06-17 15:06:54.435611,2021-06-17 16:06:59.608266,2021-06-17 19:45:02.499830,2021-06-17 21:10:06.262513,2021-06-17 23:10:07.102035,2021-06-18 01:10:03.029725,2021-06-18 03:10:02.419875,2021-06-18 05:10:01.810628,2021-06-18 07:10:02.976842,2021-06-18 09:10:01.973464,2021-06-18 11:10:02.067328,2021-06-18 13:10:02.060030,2021-06-18 15:10:01.956353,2021-06-18 17:10:03.482338,2021-06-18 19:10:02.772944,2021-06-18 21:10:07.201125,2021-06-18 23:10:03.257887,2021-06-19 01:11:22.906182,2021-06-19 03:10:14.368458,2021-06-19 05:10:02.845975,2021-06-19 07:10:01.868241,2021-06-19 09:10:39.028580,2021-06-19 11:10:02.287519,2021-06-19 13:10:16.383743,2021-06-19 15:10:02.852215
20,20,"21, Лёша Свик,   Сиреневый закат","21, Лёша Свик,   Сиреневый закат","21, Клава Кока & Руки Вверх!,   Нокаут","21, Lil Nas X,   MONTERO (Call Me By Your Name)","21, Lil Nas X,   MONTERO (Call Me By Your Name)","21, Minelli, Filatov, Karas,   Rampampam Filatov & Karas Remix","21, Minelli, Filatov, Karas,   Rampampam Filatov & Karas Remix","21, Minelli, Filatov, Karas,   Rampampam Filatov & Karas Remix","21, Måneskin,   Beggin' ","21, Måneskin,   Beggin' ","21, Måneskin,   Beggin' ","21, Måneskin,   Beggin' ","21, Måneskin,   Beggin' ","21, Måneskin,   Beggin' ","21, MORGENSHTERN,   ДУЛО ","21, Клава Кока & Руки Вверх!,   Нокаут ","21, Клава Кока & Руки Вверх!,   Нокаут ","21, Alan Walker, Imanbek,   Sweet Dreams ","21, Dabro,   На часах ноль-ноль ","21, Миша Марвин,   Девочка, не бойся ","21, Миша Марвин,   Девочка, не бойся ","21, Ramil',   Сон ","21, Ramil',   Сон ","21, Ramil',   Сон ","21, Ramil',   Сон ","21, Ramil',   Сон ","21, Dabro,   На часах ноль-ноль ","21, Ramil',   Сон "
21,21,"22, Alan Walker, Imanbek,   Sweet Dreams","22, Alan Walker, Imanbek,   Sweet Dreams","22, DEAD BLONDE,   Бесприданница","22, DEAD BLONDE,   Бесприданница","22, Би-2,   Нам не нужен герой","22, Lil Nas X,   MONTERO (Call Me By Your Name) ","22, Måneskin,   Beggin' ","22, Måneskin,   Beggin' ","22, Minelli, Filatov, Karas,   Rampampam Filatov & Karas Remix","22, Minelli, Filatov, Karas,   Rampampam Filatov & Karas Remix","22, Lil Nas X,   MONTERO (Call Me By Your Name) ","22, Lil Nas X,   MONTERO (Call Me By Your Name) ","22, Lil Nas X,   MONTERO (Call Me By Your Name) ","22, Lil Nas X,   MONTERO (Call Me By Your Name) ","22, MORGENSHTERN,   ARISTOCRAT ","22, MORGENSHTERN,   ДУЛО ","22, MORGENSHTERN,   ДУЛО ","22, Клава Кока & Руки Вверх!,   Нокаут ","22, Ваня Дмитриенко,   Венера-Юпитер ","22, Måneskin,   ZITTI E BUONI Италия. Победитель на «Евровидении-2021»","22, Måneskin,   ZITTI E BUONI Италия. Победитель на «Евровидении-2021»","22, Dabro,   На часах ноль-ноль ","22, Dabro,   На часах ноль-ноль ","22, Måneskin,   ZITTI E BUONI Италия. Победитель на «Евровидении-2021»","22, Måneskin,   ZITTI E BUONI Италия. Победитель на «Евровидении-2021»","22, Måneskin,   ZITTI E BUONI Италия. Победитель на «Евровидении-2021»","22, Ваня Дмитриенко,   Венера-Юпитер ","22, Ваня Дмитриенко,   Венера-Юпитер "
22,22,"23, Mekhman,   Копия пиратская","23, Mekhman,   Копия пиратская","23, Miyagi & Andy Panda,   Патрон","23, Miyagi & Andy Panda,   Патрон","23, DEAD BLONDE,   Бесприданница","23, DEAD BLONDE,   Бесприданница ","23, DEAD BLONDE,   Бесприданница ","23, Lil Nas X,   MONTERO (Call Me By Your Name) ","23, Lil Nas X,   MONTERO (Call Me By Your Name) ","23, Lil Nas X,   MONTERO (Call Me By Your Name) ","23, Minelli, Filatov, Karas,   Rampampam Filatov & Karas Remix","23, DEAD BLONDE,   Бесприданница ","23, DEAD BLONDE,   Бесприданница ","23, DEAD BLONDE,   Бесприданница ","23, Måneskin,   Beggin' ","23, Måneskin,   Beggin' ","23, Måneskin,   Beggin' ","23, MORGENSHTERN,   ДУЛО ","23, Клава Кока & Руки Вверх!,   Нокаут ","23, Dabro,   На часах ноль-ноль ","23, Dabro,   На часах ноль-ноль ","23, Måneskin,   ZITTI E BUONI Италия. Победитель на «Евровидении-2021»","23, Måneskin,   ZITTI E BUONI Италия. Победитель на «Евровидении-2021»","23, Dabro,   На часах ноль-ноль ","23, Максим Круженков, Hi-Fi,   Седьмой лепесток ","23, Dabro,   На часах ноль-ноль ","23, Måneskin,   ZITTI E BUONI Италия. Победитель на «Евровидении-2021»","23, Måneskin,   ZITTI E BUONI Италия. Победитель на «Евровидении-2021»"
23,23,"24, Макс Барских, Zivert,   BESTSELLER","24, Макс Барских, Zivert,   BESTSELLER","24, Måneskin,   Beggin'","24, Måneskin,   Beggin'","24, Måneskin,   Beggin'","24, Måneskin,   Beggin' ","24, Lil Nas X,   MONTERO (Call Me By Your Name) ","24, DEAD BLONDE,   Бесприданница ","24, DEAD BLONDE,   Бесприданница ","24, DEAD BLONDE,   Бесприданница ","24, DEAD BLONDE,   Бесприданница ","24, Minelli, Filatov, Karas,   Rampampam Filatov & Karas Remix","24, Miyagi & Andy Panda,   Патрон ","24, MORGENSHTERN,   ARISTOCRAT ","24, Lil Nas X,   MONTERO (Call Me By Your Name) ","24, Miyagi & Andy Panda,   Патрон ","24, Miyagi & Andy Panda,   Патрон ","24, Måneskin,   Beggin' ","24, Two Feet,   Fire In My Head ","24, Måneskin,   I WANNA BE YOUR SLAVE ","24, Måneskin,   I WANNA BE YOUR SLAVE ","24, Максим Круженков, Hi-Fi,   Седьмой лепесток ","24, Максим Круженков, Hi-Fi,   Седьмой лепесток ","24, Максим Круженков, Hi-Fi,   Седьмой лепесток ","24, Dabro,   На часах ноль-ноль ","24, Ваня Дмитриенко,   Венера-Юпитер ","24, Måneskin,   I WANNA BE YOUR SLAVE ","24, Клава Кока & Руки Вверх!,   Нокаут "
24,24,"25, SLAVA MARLOW,   ТЫ ГОРИШЬ КАК ОГОНЬ","25, SLAVA MARLOW,   ТЫ ГОРИШЬ КАК ОГОНЬ","25, The Weeknd,   Blinding Lights","25, Би-2,   Нам не нужен герой","25, Miyagi & Andy Panda,   Патрон","25, Miyagi & Andy Panda,   Патрон ","25, Miyagi & Andy Panda,   Патрон ","25, Miyagi & Andy Panda,   Патрон ","25, Miyagi & Andy Panda,   Патрон ","25, Miyagi & Andy Panda,   Патрон ","25, Miyagi & Andy Panda,   Патрон ","25, Miyagi & Andy Panda,   Патрон ","25, Minelli, Filatov, Karas,   Rampampam Filatov & Karas Remix","25, Асия, Аня Pokrov,   Любовь с картинки ","25, Miyagi & Andy Panda,   Патрон ","25, Lil Nas X,   MONTERO (Call Me By Your Name) ","25, Lil Nas X,   MONTERO (Call Me By Your Name) ","25, Jah Khalib,   Следуй за мной ","25, MORGENSHTERN,   ДУЛО ","25, Максим Круженков, Hi-Fi,   Седьмой лепесток ","25, Максим Круженков, Hi-Fi,   Седьмой лепесток ","25, Måneskin,   I WANNA BE YOUR SLAVE ","25, Måneskin,   I WANNA BE YOUR SLAVE ","25, Måneskin,   I WANNA BE YOUR SLAVE ","25, Måneskin,   I WANNA BE YOUR SLAVE ","25, Максим Круженков, Hi-Fi,   Седьмой лепесток ","25, Максим Круженков, Hi-Fi,   Седьмой лепесток ","25, Dabro,   Юность "
25,25,"26, The Weeknd,   Blinding Lights","26, The Weeknd,   Blinding Lights","26, Макс Барских, Zivert,   BESTSELLER","26, Макс Барских, Zivert,   BESTSELLER","26, The Weeknd,   Blinding Lights","26, Макс Барских, Zivert,   BESTSELLER ","26, Макс Барских, Zivert,   BESTSELLER ","26, Макс Барских, Zivert,   BESTSELLER ","26, Макс Барских, Zivert,   BESTSELLER ","26, Макс Барских, Zivert,   BESTSELLER ","26, MORGENSHTERN,   ARISTOCRAT ","26, MORGENSHTERN,   ARISTOCRAT ","26, MORGENSHTERN,   ARISTOCRAT ","26, Miyagi & Andy Panda,   Патрон ","26, DEAD BLONDE,   Бесприданница ","26, DEAD BLONDE,   Бесприданница ","26, DEAD BLONDE,   Бесприданница ","26, Miyagi & Andy Panda,   Патрон ","26, Måneskin,   Beggin' ","26, Ваня Дмитриенко,   Венера-Юпитер ","26, Ваня Дмитриенко,   Венера-Юпитер ","26, Ваня Дмитриенко,   Венера-Юпитер ","26, Ваня Дмитриенко,   Венера-Юпитер ","26, Ваня Дмитриенко,   Венера-Юпитер ","26, Ваня Дмитриенко,   Венера-Юпитер ","26, Måneskin,   I WANNA BE YOUR SLAVE ","26, Клава Кока & Руки Вверх!,   Нокаут ","26, Måneskin,   I WANNA BE YOUR SLAVE "
26,26,"27, Dabro,   Юность","27, Dabro,   Юность","27, Король и Шут,   Кукла колдуна","27, Mekhman,   Копия пиратская","27, Макс Барских, Zivert,   BESTSELLER","27, The Weeknd,   Blinding Lights ","27, The Weeknd,   Blinding Lights ","27, The Weeknd,   Blinding Lights ","27, The Weeknd,   Blinding Lights ","27, MORGENSHTERN,   ARISTOCRAT ","27, Макс Барских, Zivert,   BESTSELLER ","27, Макс Барских, Zivert,   BESTSELLER ","27, Макс Барских, Zivert,   BESTSELLER ","27, Minelli, Filatov, Karas,   Rampampam Filatov & Karas Remix","27, Minelli, Filatov, Karas,   Rampampam Filatov & Karas Remix","27, Minelli, Filatov, Karas,   Rampampam Filatov & Karas Remix","27, Minelli, Filatov, Karas,   Rampampam Filatov & Karas Remix","27, Lil Nas X,   MONTERO (Call Me By Your Name) ","27, ХАННА,   СЛАДКИЙ ТУМАН ","27, Клава Кока & Руки Вверх!,   Нокаут ","27, Клава Кока & Руки Вверх!,   Нокаут ","27, Клава Кока & Руки Вверх!,   Нокаут ","27, Клава Кока & Руки Вверх!,   Нокаут ","27, Клава Кока & Руки Вверх!,   Нокаут ","27, MORGENSHTERN,   ДУЛО ","27, MORGENSHTERN,   ДУЛО ","27, Two Feet,   Fire In My Head ","27, Максим Круженков, Hi-Fi,   Седьмой лепесток "
27,27,"28, HENSY, PIZZA,   Неидеальная","28, HENSY, PIZZA,   Неидеальная","28, Mekhman,   Копия пиратская","28, Король и Шут,   Кукла колдуна","28, Король и Шут,   Кукла колдуна","28, Король и Шут,   Кукла колдуна ","28, Король и Шут,   Кукла колдуна ","28, Король и Шут,   Кукла колдуна ","28, MORGENSHTERN,   ARISTOCRAT ","28, The Weeknd,   Blinding Lights ","28, The Weeknd,   Blinding Lights ","28, Король и Шут,   Кукла колдуна ","28, Король и Шут,   Кукла колдуна ","28, Макс Барских, Zivert,   BESTSELLER ","28, Макс Барских, Zivert,   BESTSELLER ","28, Alan Walker, Imanbek,   Sweet Dreams ","28, Alan Walker, Imanbek,   Sweet Dreams ","28, DEAD BLONDE,   Бесприданница ","28, Miyagi & Andy Panda,   Патрон ","28, MORGENSHTERN,   ДУЛО ","28, MORGENSHTERN,   ДУЛО ","28, MORGENSHTERN,   ДУЛО ","28, MORGENSHTERN,   ДУЛО ","28, MORGENSHTERN,   ДУЛО ","28, Клава Кока & Руки Вверх!,   Нокаут ","28, Клава Кока & Руки Вверх!,   Нокаут ","28, MORGENSHTERN,   ДУЛО ","28, MORGENSHTERN,   ДУЛО "
28,28,"29, Lil Nas X,   MONTERO (Call Me By Your Name)","29, Lil Nas X,   MONTERO (Call Me By Your Name)","29, SLAVA MARLOW,   ТЫ ГОРИШЬ КАК ОГОНЬ","29, The Weeknd,   Blinding Lights","29, Mekhman,   Копия пиратская","29, Mekhman,   Копия пиратская ","29, SLAVA MARLOW,   ТЫ ГОРИШЬ КАК ОГОНЬ ","29, MORGENSHTERN,   ARISTOCRAT ","29, Король и Шут,   Кукла колдуна ","29, Король и Шут,   Кукла колдуна ","29, Король и Шут,   Кукла колдуна ","29, The Weeknd,   Blinding Lights ","29, The Weeknd,   Blinding Lights ","29, Король и Шут,   Кукла колдуна ","29, Король и Шут,   Кукла колдуна ","29, Макс Барских, Zivert,   BESTSELLER ","29, Макс Барских, Zivert,   BESTSELLER ","29, Макс Барских, Zivert,   BESTSELLER ","29, DEAD BLONDE,   Бесприданница ","29, Måneskin,   Beggin' ","29, Måneskin,   Beggin' ","29, Dabro,   Юность ","29, Dabro,   Юность ","29, Dabro,   Юность ","29, Dabro,   Юность ","29, Dabro,   Юность ","29, Dabro,   Юность ","29, Макс Барских, Zivert,   BESTSELLER "
29,29,"30, Король и Шут,   Кукла колдуна","30, Король и Шут,   Кукла колдуна","30, Gaullin, Julian Perretta,   Seven Nation Army","30, SLAVA MARLOW,   ТЫ ГОРИШЬ КАК ОГОНЬ","30, SLAVA MARLOW,   ТЫ ГОРИШЬ КАК ОГОНЬ","30, SLAVA MARLOW,   ТЫ ГОРИШЬ КАК ОГОНЬ ","30, Mekhman,   Копия пиратская ","30, SLAVA MARLOW,   ТЫ ГОРИШЬ КАК ОГОНЬ ","30, SLAVA MARLOW,   ТЫ ГОРИШЬ КАК ОГОНЬ ","30, SLAVA MARLOW,   ТЫ ГОРИШЬ КАК ОГОНЬ ","30, SLAVA MARLOW,   ТЫ ГОРИШЬ КАК ОГОНЬ ","30, SLAVA MARLOW,   ТЫ ГОРИШЬ КАК ОГОНЬ ","30, MORGENSHTERN,   SHOW ","30, The Weeknd,   Blinding Lights ","30, The Weeknd,   Blinding Lights ","30, Король и Шут,   Кукла колдуна ","30, Король и Шут,   Кукла колдуна ","30, Two Feet,   Fire In My Head ","30, Lil Nas X,   MONTERO (Call Me By Your Name) ","30, Miyagi & Andy Panda,   Патрон ","30, Miyagi & Andy Panda,   Патрон ","30, Måneskin,   Beggin' ","30, Måneskin,   Beggin' ","30, GAYAZOV$ BROTHER$,   Rosa X ","30, Зомб,   Брют ","30, Зомб,   Брют ","30, DEAD BLONDE,   Бесприданница ","30, Король и Шут,   Кукла колдуна "
30,30,"31, Måneskin,   Beggin'","31, Måneskin,   Beggin'","31, Асия, Аня Pokrov,   Любовь с картинки","31, Gaullin, Julian Perretta,   Seven Nation Army","31, Gaullin, Julian Perretta,   Seven Nation Army","31, Gaullin, Julian Perretta,   Seven Nation Army ","31, MORGENSHTERN,   ARISTOCRAT ","31, Gaullin, Julian Perretta,   Seven Nation Army ","31, Dabro,   Юность ","31, Dabro,   Юность ","31, Dabro,   Юность ","31, MORGENSHTERN,   SHOW ","31, SLAVA MARLOW,   ТЫ ГОРИШЬ КАК ОГОНЬ ","31, MORGENSHTERN,   SHOW ","31, MORGENSHTERN,   SHOW ","31, The Weeknd,   Blinding Lights ","31, The Weeknd,   Blinding Lights ","31, Лёша Свик,   Сиреневый закат ","31, Лёша Свик,   Сиреневый закат ","31, DEAD BLONDE,   Бесприданница ","31, DEAD BLONDE,   Бесприданница ","31, Макс Барских, Zivert,   BESTSELLER ","31, GAYAZOV$ BROTHER$,   Rosa X ","31, Зомб,   Брют ","31, GAYAZOV$ BROTHER$,   Rosa X ","31, Король и Шут,   Кукла колдуна ","31, Король и Шут,   Кукла колдуна ","31, DEAD BLONDE,   Бесприданница "
31,31,"32, MORGENSHTERN,   SHOW","32, MORGENSHTERN,   SHOW","32, Лёша Свик,   Сиреневый закат","32, Лёша Свик,   Сиреневый закат","32, Лёша Свик,   Сиреневый закат","32, Dabro,   Юность ","32, Gaullin, Julian Perretta,   Seven Nation Army ","32, Dabro,   Юность ","32, Gaullin, Julian Perretta,   Seven Nation Army ","32, Gaullin, Julian Perretta,   Seven Nation Army ","32, Gaullin, Julian Perretta,   Seven Nation Army ","32, Dabro,   Юность ","32, Dabro,   Юность ","32, SLAVA MARLOW,   ТЫ ГОРИШЬ КАК ОГОНЬ ","32, Mekhman,   Копия пиратская ","32, Mekhman,   Копия пиратская ","32, Mekhman,   Копия пиратская ","32, Mekhman,   Копия пиратская ","32, Mekhman,   Копия пиратская ","32, Lil Nas X,   MONTERO (Call Me By Your Name) ","32, Lil Nas X,   MONTERO (Call Me By Your Name) ","32, Miyagi & Andy Panda,   Патрон ","32, Макс Барских, Zivert,   BESTSELLER ","32, Miyagi & Andy Panda,   Патрон ","32, Måneskin,   Beggin' ","32, DEAD BLONDE,   Бесприданница ","32, Miyagi & Andy Panda,   Патрон ","32, Two Feet,   Fire In My Head "
32,32,"33, Masked Wolf, Alok,   Astronaut In The Ocean Alok Remix","33, Masked Wolf, Alok,   Astronaut In The Ocean Alok Remix","33, Dabro,   Юность","33, Асия, Аня Pokrov,   Любовь с картинки","33, Dabro,   Юность","33, MORGENSHTERN,   ARISTOCRAT ","33, Dabro,   Юность ","33, Mekhman,   Копия пиратская ","33, Mekhman,   Копия пиратская ","33, MORGENSHTERN,   SHOW ","33, MORGENSHTERN,   SHOW ","33, Mekhman,   Копия пиратская ","33, Mekhman,   Копия пиратская ","33, Dabro,   Юность ","33, Dabro,   Юность ","33, MORGENSHTERN,   SHOW ","33, MORGENSHTERN,   SHOW ","33, Король и Шут,   Кукла колдуна ","33, Макс Барских, Zivert,   BESTSELLER ","33, Макс Барских, Zivert,   BESTSELLER ","33, Макс Барских, Zivert,   BESTSELLER ","33, GAYAZOV$ BROTHER$,   Rosa X ","33, Miyagi & Andy Panda,   Патрон ","33, Король и Шут,   Кукла колдуна ","33, Miyagi & Andy Panda,   Патрон ","33, Måneskin,   Beggin' ","33, Макс Барских, Zivert,   BESTSELLER ","33, Miyagi & Andy Panda,   Патрон "
33,33,"34, JONY,   Комета","34, JONY,   Комета","34, Masked Wolf, Alok,   Astronaut In The Ocean Alok Remix","34, Dabro,   Юность","34, MORGENSHTERN,   ARISTOCRAT","34, Лёша Свик,   Сиреневый закат ","34, Лёша Свик,   Сиреневый закат ","34, MORGENSHTERN,   SHOW ","34, MORGENSHTERN,   SHOW ","34, Mekhman,   Копия пиратская ","34, Mekhman,   Копия пиратская ","34, Gaullin, Julian Perretta,   Seven Nation Army ","34, Gaullin, Julian Perretta,   Seven Nation Army ","34, Mekhman,   Копия пиратская ","34, Alan Walker, Imanbek,   Sweet Dreams ","34, Dabro,   Юность ","34, Dabro,   Юность ","34, Minelli, Filatov, Karas,   Rampampam Filatov & Karas Remix","34, Максим Круженков, Hi-Fi,   Седьмой лепесток ","34, Лёша Свик,   Сиреневый закат ","34, Лёша Свик,   Сиреневый закат ","34, DEAD BLONDE,   Бесприданница ","34, Зомб,   Брют ","34, Måneskin,   Beggin' ","34, Король и Шут,   Кукла колдуна ","34, Miyagi & Andy Panda,   Патрон ","34, Måneskin,   Beggin' ","34, The Weeknd,   Blinding Lights "
34,34,"35, Анет Сай, NILETTO,   Не люблю?","35, Анет Сай, NILETTO,   Не люблю?","35, HENSY, PIZZA,   Неидеальная","35, Masked Wolf, Alok,   Astronaut In The Ocean Alok Remix","35, MORGENSHTERN,   SHOW","35, MORGENSHTERN,   SHOW ","35, MORGENSHTERN,   SHOW ","35, Лёша Свик,   Сиреневый закат ","35, Лёша Свик,   Сиреневый закат ","35, Лёша Свик,   Сиреневый закат ","35, Лёша Свик,   Сиреневый закат ","35, Ramil',   Сияй ","35, Ramil',   Сияй ","35, Gaullin, Julian Perretta,   Seven Nation Army ","35, SLAVA MARLOW,   ТЫ ГОРИШЬ КАК ОГОНЬ ","35, SLAVA MARLOW,   ТЫ ГОРИШЬ КАК ОГОНЬ ","35, SLAVA MARLOW,   ТЫ ГОРИШЬ КАК ОГОНЬ ","35, Dabro,   Юность ","35, Миша Марвин,   Девочка, не бойся ","35, Dabro,   Юность ","35, Dabro,   Юность ","35, Lil Nas X,   MONTERO (Call Me By Your Name) ","35, DEAD BLONDE,   Бесприданница ","35, Макс Барских, Zivert,   BESTSELLER ","35, Макс Барских, Zivert,   BESTSELLER ","35, GAYAZOV$ BROTHER$,   Rosa X ","35, Зомб,   Брют ","35, Måneskin,   Beggin' "
35,35,"36, Miyagi & Andy Panda,   Minor","36, Miyagi & Andy Panda,   Minor","36, Би-2,   Нам не нужен герой","36, MORGENSHTERN,   ARISTOCRAT","36, Masked Wolf, Alok,   Astronaut In The Ocean Alok Remix","36, Masked Wolf, Alok,   Astronaut In The Ocean Alok Remix","36, HENSY, PIZZA,   Неидеальная ","36, Ramil',   Сияй ","36, Ramil',   Сияй ","36, Ramil',   Сияй ","36, Ramil',   Сияй ","36, Лёша Свик,   Сиреневый закат ","36, JONY,   Комета ","36, Ramil',   Сияй ","36, Лёша Свик,   Сиреневый закат ","36, Лёша Свик,   Сиреневый закат ","36, Лёша Свик,   Сиреневый закат ","36, The Weeknd,   Blinding Lights ","36, Король и Шут,   Кукла колдуна ","36, Mekhman,   Копия пиратская ","36, Mekhman,   Копия пиратская ","36, Зомб,   Брют ","36, Король и Шут,   Кукла колдуна ","36, DEAD BLONDE,   Бесприданница ","36, DEAD BLONDE,   Бесприданница ","36, Макс Барских, Zivert,   BESTSELLER ","36, The Weeknd,   Blinding Lights ","36, Lil Nas X,   MONTERO (Call Me By Your Name) "
36,36,"37, Ramil',   Сияй","37, Ramil',   Сияй","37, MORGENSHTERN,   SHOW","37, HENSY, PIZZA,   Неидеальная","37, Асия, Аня Pokrov,   Любовь с картинки","37, Асия, Аня Pokrov,   Любовь с картинки ","37, Ramil',   Сияй ","37, Masked Wolf, Alok,   Astronaut In The Ocean Alok Remix","37, HENSY, PIZZA,   Неидеальная ","37, HENSY, PIZZA,   Неидеальная ","37, Masked Wolf, Alok,   Astronaut In The Ocean Alok Remix","37, JONY,   Комета ","37, Асия, Аня Pokrov,   Любовь с картинки ","37, JONY,   Комета ","37, Gaullin, Julian Perretta,   Seven Nation Army ","37, Gaullin, Julian Perretta,   Seven Nation Army ","37, Gaullin, Julian Perretta,   Seven Nation Army ","37, ХАННА,   СЛАДКИЙ ТУМАН ","37, Minelli, Filatov, Karas,   Rampampam Filatov & Karas Remix","37, GAYAZOV$ BROTHER$,   Rosa X ","37, GAYAZOV$ BROTHER$,   Rosa X ","37, Король и Шут,   Кукла колдуна ","37, Lil Nas X,   MONTERO (Call Me By Your Name) ","37, Lil Nas X,   MONTERO (Call Me By Your Name) ","37, Lil Nas X,   MONTERO (Call Me By Your Name) ","37, Lil Nas X,   MONTERO (Call Me By Your Name) ","37, Lil Nas X,   MONTERO (Call Me By Your Name) ","37, SLAVA MARLOW,   ТЫ ГОРИШЬ КАК ОГОНЬ "
37,37,"38, MOT, LYRIQ,   Не Бруклин","38, MOT, LYRIQ,   Не Бруклин","38, JONY,   Комета","38, MORGENSHTERN,   SHOW","38, HENSY, PIZZA,   Неидеальная","38, HENSY, PIZZA,   Неидеальная ","38, Masked Wolf, Alok,   Astronaut In The Ocean Alok Remix","38, HENSY, PIZZA,   Неидеальная ","38, Masked Wolf, Alok,   Astronaut In The Ocean Alok Remix","38, Masked Wolf, Alok,   Astronaut In The Ocean Alok Remix","38, HENSY, PIZZA,   Неидеальная ","38, Masked Wolf, Alok,   Astronaut In The Ocean Alok Remix","38, Лёша Свик,   Сиреневый закат ","38, Masked Wolf, Alok,   Astronaut In The Ocean Alok Remix","38, Ramil',   Сияй ","38, JONY,   Комета ","38, JONY,   Комета ","38, MORGENSHTERN,   SHOW ","38, MOT, LYRIQ,   Не Бруклин ","38, Король и Шут,   Кукла колдуна ","38, Король и Шут,   Кукла колдуна ","38, Лёша Свик,   Сиреневый закат ","38, Лёша Свик,   Сиреневый закат ","38, The Weeknd,   Blinding Lights ","38, The Weeknd,   Blinding Lights ","38, The Weeknd,   Blinding Lights ","38, SLAVA MARLOW,   ТЫ ГОРИШЬ КАК ОГОНЬ ","38, Зомб,   Брют "
38,38,"39, LOBODA,   Родной","39, LOBODA,   Родной","39, MORGENSHTERN,   ARISTOCRAT","39, JONY,   Комета","39, JONY,   Комета","39, JONY,   Комета ","39, Асия, Аня Pokrov,   Любовь с картинки ","39, JONY,   Комета ","39, JONY,   Комета ","39, JONY,   Комета ","39, JONY,   Комета ","39, HENSY, PIZZA,   Неидеальная ","39, Masked Wolf, Alok,   Astronaut In The Ocean Alok Remix","39, Анет Сай, NILETTO,   Не люблю? ","39, JONY,   Комета ","39, Ramil',   Сияй ","39, Ramil',   Сияй ","39, SLAVA MARLOW,   ТЫ ГОРИШЬ КАК ОГОНЬ ","39, Dabro,   Юность ","39, The Weeknd,   Blinding Lights ","39, The Weeknd,   Blinding Lights ","39, The Weeknd,   Blinding Lights ","39, The Weeknd,   Blinding Lights ","39, Лёша Свик,   Сиреневый закат ","39, Лёша Свик,   Сиреневый закат ","39, SLAVA MARLOW,   ТЫ ГОРИШЬ КАК ОГОНЬ ","39, GAYAZOV$ BROTHER$,   Rosa X ","39, Mekhman,   Копия пиратская "
39,39,"40, VAVAN, Лилая,   АМУР","40, VAVAN, Лилая,   АМУР","40, Анет Сай, NILETTO,   Не люблю?","40, MOT, LYRIQ,   Не Бруклин","40, Ramil',   Сияй","40, Ramil',   Сияй ","40, JONY,   Комета ","40, Анет Сай, NILETTO,   Не люблю? ","40, Rauf & Faik, NILETTO,   Если тебе будет грустно ","40, Rauf & Faik, NILETTO,   Если тебе будет грустно ","40, Анет Сай, NILETTO,   Не люблю? ","40, Rauf & Faik, NILETTO,   Если тебе будет грустно ","40, Анет Сай, NILETTO,   Не люблю? ","40, Лёша Свик,   Сиреневый закат ","40, Masked Wolf, Alok,   Astronaut In The Ocean Alok Remix","40, Анет Сай, NILETTO,   Не люблю? ","40, Анет Сай, NILETTO,   Не люблю? ","40, MOT, LYRIQ,   Не Бруклин ","40, The Weeknd,   Blinding Lights ","40, Зомб,   Брют ","40, Зомб,   Брют ","40, Mekhman,   Копия пиратская ","40, SLAVA MARLOW,   ТЫ ГОРИШЬ КАК ОГОНЬ ","40, SLAVA MARLOW,   ТЫ ГОРИШЬ КАК ОГОНЬ ","40, SLAVA MARLOW,   ТЫ ГОРИШЬ КАК ОГОНЬ ","40, Лёша Свик,   Сиреневый закат ","40, Mekhman,   Копия пиратская ","40, GAYAZOV$ BROTHER$,   Rosa X "
40,40,"41, Rauf & Faik, NILETTO,   Если тебе будет грустно","41, Rauf & Faik, NILETTO,   Если тебе будет грустно","41, Ramil',   Сияй","41, Ramil',   Сияй","41, Анет Сай, NILETTO,   Не люблю?","41, Анет Сай, NILETTO,   Не люблю? ","41, Анет Сай, NILETTO,   Не люблю? ","41, Асия, Аня Pokrov,   Любовь с картинки ","41, Анет Сай, NILETTO,   Не люблю? ","41, Анет Сай, NILETTO,   Не люблю? ","41, Rauf & Faik, NILETTO,   Если тебе будет грустно ","41, Анет Сай, NILETTO,   Не люблю? ","41, Rauf & Faik, NILETTO,   Если тебе будет грустно ","41, Rauf & Faik, NILETTO,   Если тебе будет грустно ","41, Анет Сай, NILETTO,   Не люблю? ","41, Masked Wolf, Alok,   Astronaut In The Ocean Alok Remix","41, Masked Wolf, Alok,   Astronaut In The Ocean Alok Remix","41, JONY,   Комета ","41, MORGENSHTERN,   SHOW ","41, MOT, LYRIQ,   Не Бруклин ","41, MOT, LYRIQ,   Не Бруклин ","41, SLAVA MARLOW,   ТЫ ГОРИШЬ КАК ОГОНЬ ","41, Mekhman,   Копия пиратская ","41, Mekhman,   Копия пиратская ","41, Mekhman,   Копия пиратская ","41, Mekhman,   Копия пиратская ","41, Лёша Свик,   Сиреневый закат ","41, MOT, LYRIQ,   Не Бруклин "
