Unnamed: 0,Unnamed: 0.1,2021-06-15 15:56:43.573872,2021-06-15 17:07:16.845472,2021-06-17 10:04:51.761535,2021-06-17 15:06:54.435611,2021-06-17 16:06:59.608266,2021-06-17 19:45:02.499830,2021-06-17 21:10:06.262513,2021-06-17 23:10:07.102035,2021-06-18 01:10:03.029725,2021-06-18 03:10:02.419875,2021-06-18 05:10:01.810628,2021-06-18 07:10:02.976842,2021-06-18 09:10:01.973464,2021-06-18 11:10:02.067328,2021-06-18 13:10:02.060030,2021-06-18 15:10:01.956353,2021-06-18 17:10:03.482338,2021-06-18 19:10:02.772944,2021-06-18 21:10:07.201125,2021-06-18 23:10:03.257887,2021-06-19 01:11:22.906182,2021-06-19 03:10:14.368458,2021-06-19 05:10:02.845975,2021-06-19 07:10:01.868241,2021-06-19 09:10:39.028580,2021-06-19 11:10:02.287519,2021-06-19 13:10:16.383743,2021-06-19 15:10:02.852215
10,10,"11, Måneskin,   ZITTI E BUONI Италия. Победитель на «Евровидении-2021»","11, Måneskin,   ZITTI E BUONI Италия. Победитель на «Евровидении-2021»","11, ХАБИБ,   Ягода малинка","11, ХАБИБ,   Ягода малинка","11, Måneskin,   ZITTI E BUONI Италия. Победитель на «Евровидении-2021»","11, ХАБИБ,   Ягода малинка ","11, BRANYA, MACAN,   Пополам ","11, ХАБИБ,   Ягода малинка ","11, Султан Лагучев,   Горький вкус ","11, Султан Лагучев,   Горький вкус ","11, Султан Лагучев,   Горький вкус ","11, ХАБИБ,   Ягода малинка ","11, ХАБИБ,   Ягода малинка ","11, Би-2,   Нам не нужен герой ","11, GAYAZOV$ BROTHER$, Filatov & Karas,   Пошла жара ","11, GAYAZOV$ BROTHER$, Filatov & Karas,   Пошла жара ","11, GAYAZOV$ BROTHER$, Filatov & Karas,   Пошла жара ","11, Masked Wolf,   Astronaut In The Ocean ","11, Masked Wolf,   Astronaut In The Ocean ","11, Masked Wolf,   Astronaut In The Ocean ","11, Masked Wolf,   Astronaut In The Ocean ","11, Jah Khalib,   Следуй за мной ","11, DEAD BLONDE,   Мальчик на девятке ","11, DEAD BLONDE,   Мальчик на девятке ","11, DEAD BLONDE,   Мальчик на девятке ","11, Jah Khalib,   Следуй за мной ","11, Masked Wolf,   Astronaut In The Ocean ","11, Masked Wolf,   Astronaut In The Ocean "
11,11,"12, Ramil',   Сон","12, Ramil',   Сон","12, BRANYA, MACAN,   Пополам","12, BRANYA, MACAN,   Пополам","12, BRANYA, MACAN,   Пополам","12, BRANYA, MACAN,   Пополам ","12, Би-2,   Нам не нужен герой ","12, BRANYA, MACAN,   Пополам ","12, BRANYA, MACAN,   Пополам ","12, BRANYA, MACAN,   Пополам ","12, BRANYA, MACAN,   Пополам ","12, BRANYA, MACAN,   Пополам ","12, Би-2,   Нам не нужен герой ","12, ХАБИБ,   Ягода малинка ","12, Artik & Asti,   Истеричка ","12, Artik & Asti,   Истеричка ","12, Artik & Asti,   Истеричка ","12, Artik & Asti,   Истеричка ","12, Artik & Asti,   Истеричка ","12, Jah Khalib,   Следуй за мной ","12, Jah Khalib,   Следуй за мной ","12, Masked Wolf,   Astronaut In The Ocean ","12, Masked Wolf,   Astronaut In The Ocean ","12, Masked Wolf,   Astronaut In The Ocean ","12, Masked Wolf,   Astronaut In The Ocean ","12, Masked Wolf,   Astronaut In The Ocean ","12, ХАБИБ,   Ягода малинка ","12, Би-2,   Нам не нужен герой "
12,12,"13, Dabro,   На часах ноль-ноль","13, Dabro,   На часах ноль-ноль","13, Ramil',   Сон","13, Ramil',   Сон","13, Ramil',   Сон","13, Ramil',   Сон ","13, Måneskin,   ZITTI E BUONI Италия. Победитель на «Евровидении-2021»","13, Måneskin,   ZITTI E BUONI Италия. Победитель на «Евровидении-2021»","13, Måneskin,   ZITTI E BUONI Италия. Победитель на «Евровидении-2021»","13, Måneskin,   ZITTI E BUONI Италия. Победитель на «Евровидении-2021»","13, Måneskin,   ZITTI E BUONI Италия. Победитель на «Евровидении-2021»","13, Måneskin,   ZITTI E BUONI Италия. Победитель на «Евровидении-2021»","13, Måneskin,   ZITTI E BUONI Италия. Победитель на «Евровидении-2021»","13, GAYAZOV$ BROTHER$, Filatov & Karas,   Пошла жара ","13, Султан Лагучев,   Горький вкус ","13, Султан Лагучев,   Горький вкус ","13, Султан Лагучев,   Горький вкус ","13, Султан Лагучев,   Горький вкус ","13, Султан Лагучев,   Горький вкус ","13, Artik & Asti,   Истеричка ","13, Artik & Asti,   Истеричка ","13, ХАБИБ,   Ягода малинка ","13, ХАБИБ,   Ягода малинка ","13, Султан Лагучев,   Горький вкус ","13, Султан Лагучев,   Горький вкус ","13, Султан Лагучев,   Горький вкус ","13, Султан Лагучев,   Горький вкус ","13, Султан Лагучев,   Горький вкус "
13,13,"14, Ваня Дмитриенко,   Венера-Юпитер","14, Ваня Дмитриенко,   Венера-Юпитер","14, Måneskin,   I WANNA BE YOUR SLAVE","14, Dabro,   На часах ноль-ноль","14, Dabro,   На часах ноль-ноль","14, Måneskin,   I WANNA BE YOUR SLAVE ","14, Ramil',   Сон ","14, Ramil',   Сон ","14, Ramil',   Сон ","14, Ramil',   Сон ","14, Ramil',   Сон ","14, Ramil',   Сон ","14, Måneskin,   I WANNA BE YOUR SLAVE ","14, Måneskin,   ZITTI E BUONI Италия. Победитель на «Евровидении-2021»","14, ХАБИБ,   Ягода малинка ","14, ХАБИБ,   Ягода малинка ","14, ХАБИБ,   Ягода малинка ","14, ХАБИБ,   Ягода малинка ","14, MORGENSHTERN,   ARISTOCRAT ","14, Султан Лагучев,   Горький вкус ","14, Султан Лагучев,   Горький вкус ","14, Султан Лагучев,   Горький вкус ","14, Султан Лагучев,   Горький вкус ","14, ХАБИБ,   Ягода малинка ","14, ХАБИБ,   Ягода малинка ","14, ХАБИБ,   Ягода малинка ","14, Jah Khalib,   Следуй за мной ","14, Миша Марвин,   Девочка, не бойся "
14,14,"15, Måneskin,   I WANNA BE YOUR SLAVE","15, Måneskin,   I WANNA BE YOUR SLAVE","15, Dabro,   На часах ноль-ноль","15, Måneskin,   I WANNA BE YOUR SLAVE","15, Måneskin,   I WANNA BE YOUR SLAVE","15, Dabro,   На часах ноль-ноль ","15, Måneskin,   I WANNA BE YOUR SLAVE ","15, Dabro,   На часах ноль-ноль ","15, Dabro,   На часах ноль-ноль ","15, Dabro,   На часах ноль-ноль ","15, Dabro,   На часах ноль-ноль ","15, Dabro,   На часах ноль-ноль ","15, Ramil',   Сон ","15, Ramil',   Сон ","15, Ramil',   Сон ","15, Ramil',   Сон ","15, Ramil',   Сон ","15, Ramil',   Сон ","15, ХАБИБ,   Ягода малинка ","15, ХАБИБ,   Ягода малинка ","15, ХАБИБ,   Ягода малинка ","15, Artik & Asti,   Истеричка ","15, Artik & Asti,   Истеричка ","15, Artik & Asti,   Истеричка ","15, ХАННА,   СЛАДКИЙ ТУМАН ","15, ХАННА,   СЛАДКИЙ ТУМАН ","15, Миша Марвин,   Девочка, не бойся ","15, Artik & Asti,   Истеричка "
15,15,"16, GAYAZOV$ BROTHER$, Filatov & Karas,   Пошла жара","16, GAYAZOV$ BROTHER$, Filatov & Karas,   Пошла жара","16, Ваня Дмитриенко,   Венера-Юпитер","16, GAYAZOV$ BROTHER$, Filatov & Karas,   Пошла жара","16, GAYAZOV$ BROTHER$, Filatov & Karas,   Пошла жара","16, GAYAZOV$ BROTHER$, Filatov & Karas,   Пошла жара ","16, Dabro,   На часах ноль-ноль ","16, Måneskin,   I WANNA BE YOUR SLAVE ","16, Måneskin,   I WANNA BE YOUR SLAVE ","16, GAYAZOV$ BROTHER$, Filatov & Karas,   Пошла жара ","16, GAYAZOV$ BROTHER$, Filatov & Karas,   Пошла жара ","16, Måneskin,   I WANNA BE YOUR SLAVE ","16, Dabro,   На часах ноль-ноль ","16, Måneskin,   I WANNA BE YOUR SLAVE ","16, Måneskin,   ZITTI E BUONI Италия. Победитель на «Евровидении-2021»","16, Måneskin,   ZITTI E BUONI Италия. Победитель на «Евровидении-2021»","16, Måneskin,   ZITTI E BUONI Италия. Победитель на «Евровидении-2021»","16, Måneskin,   ZITTI E BUONI Италия. Победитель на «Евровидении-2021»","16, Jah Khalib,   Следуй за мной ","16, MORGENSHTERN,   ARISTOCRAT ","16, MORGENSHTERN,   ARISTOCRAT ","16, ХАННА,   СЛАДКИЙ ТУМАН ","16, ХАННА,   СЛАДКИЙ ТУМАН ","16, ХАННА,   СЛАДКИЙ ТУМАН ","16, Artik & Asti,   Истеричка ","16, Миша Марвин,   Девочка, не бойся ","16, ХАННА,   СЛАДКИЙ ТУМАН ","16, ХАННА,   СЛАДКИЙ ТУМАН "
16,16,"17, MORGENSHTERN,   ДУЛО","17, MORGENSHTERN,   ДУЛО","17, GAYAZOV$ BROTHER$, Filatov & Karas,   Пошла жара","17, Ваня Дмитриенко,   Венера-Юпитер","17, Ваня Дмитриенко,   Венера-Юпитер","17, Ваня Дмитриенко,   Венера-Юпитер ","17, GAYAZOV$ BROTHER$, Filatov & Karas,   Пошла жара ","17, GAYAZOV$ BROTHER$, Filatov & Karas,   Пошла жара ","17, GAYAZOV$ BROTHER$, Filatov & Karas,   Пошла жара ","17, Måneskin,   I WANNA BE YOUR SLAVE ","17, Måneskin,   I WANNA BE YOUR SLAVE ","17, GAYAZOV$ BROTHER$, Filatov & Karas,   Пошла жара ","17, GAYAZOV$ BROTHER$, Filatov & Karas,   Пошла жара ","17, Dabro,   На часах ноль-ноль ","17, Dabro,   На часах ноль-ноль ","17, Dabro,   На часах ноль-ноль ","17, Dabro,   На часах ноль-ноль ","17, MORGENSHTERN,   ARISTOCRAT ","17, Ramil',   Сон ","17, Alan Walker, Imanbek,   Sweet Dreams ","17, Alan Walker, Imanbek,   Sweet Dreams ","17, MORGENSHTERN,   ARISTOCRAT ","17, MORGENSHTERN,   ARISTOCRAT ","17, MORGENSHTERN,   ARISTOCRAT ","17, MORGENSHTERN,   ARISTOCRAT ","17, Artik & Asti,   Истеричка ","17, Artik & Asti,   Истеричка ","17, Jah Khalib,   Следуй за мной "
17,17,"18, Miyagi & Andy Panda,   Патрон","18, Miyagi & Andy Panda,   Патрон","18, MORGENSHTERN,   ДУЛО","18, Клава Кока & Руки Вверх!,   Нокаут","18, MORGENSHTERN,   ДУЛО","18, Би-2,   Нам не нужен герой ","18, Ваня Дмитриенко,   Венера-Юпитер ","18, Ваня Дмитриенко,   Венера-Юпитер ","18, Ваня Дмитриенко,   Венера-Юпитер ","18, Ваня Дмитриенко,   Венера-Юпитер ","18, Ваня Дмитриенко,   Венера-Юпитер ","18, Ваня Дмитриенко,   Венера-Юпитер ","18, Ваня Дмитриенко,   Венера-Юпитер ","18, Ваня Дмитриенко,   Венера-Юпитер ","18, Måneskin,   I WANNA BE YOUR SLAVE ","18, Måneskin,   I WANNA BE YOUR SLAVE ","18, Måneskin,   I WANNA BE YOUR SLAVE ","18, Måneskin,   I WANNA BE YOUR SLAVE ","18, Måneskin,   ZITTI E BUONI Италия. Победитель на «Евровидении-2021»","18, ХАННА,   СЛАДКИЙ ТУМАН ","18, ХАННА,   СЛАДКИЙ ТУМАН ","18, Alan Walker, Imanbek,   Sweet Dreams ","18, Миша Марвин,   Девочка, не бойся ","18, Миша Марвин,   Девочка, не бойся ","18, Миша Марвин,   Девочка, не бойся ","18, MORGENSHTERN,   ARISTOCRAT ","18, MORGENSHTERN,   ARISTOCRAT ","18, MORGENSHTERN,   ARISTOCRAT "
18,18,"19, DEAD BLONDE,   Бесприданница","19, DEAD BLONDE,   Бесприданница","19, Lil Nas X,   MONTERO (Call Me By Your Name)","19, MORGENSHTERN,   ДУЛО","19, Клава Кока & Руки Вверх!,   Нокаут","19, MORGENSHTERN,   ДУЛО ","19, Клава Кока & Руки Вверх!,   Нокаут ","19, Клава Кока & Руки Вверх!,   Нокаут ","19, Клава Кока & Руки Вверх!,   Нокаут ","19, Клава Кока & Руки Вверх!,   Нокаут ","19, Клава Кока & Руки Вверх!,   Нокаут ","19, Клава Кока & Руки Вверх!,   Нокаут ","19, MORGENSHTERN,   ДУЛО ","19, Клава Кока & Руки Вверх!,   Нокаут ","19, Ваня Дмитриенко,   Венера-Юпитер ","19, Ваня Дмитриенко,   Венера-Юпитер ","19, Ваня Дмитриенко,   Венера-Юпитер ","19, Dabro,   На часах ноль-ноль ","19, Måneskin,   I WANNA BE YOUR SLAVE ","19, Two Feet,   Fire In My Head ","19, Two Feet,   Fire In My Head ","19, Миша Марвин,   Девочка, не бойся ","19, Alan Walker, Imanbek,   Sweet Dreams ","19, Alan Walker, Imanbek,   Sweet Dreams ","19, Alan Walker, Imanbek,   Sweet Dreams ","19, Alan Walker, Imanbek,   Sweet Dreams ","19, Alan Walker, Imanbek,   Sweet Dreams ","19, Alan Walker, Imanbek,   Sweet Dreams "
19,19,"20, Клава Кока & Руки Вверх!,   Нокаут","20, Клава Кока & Руки Вверх!,   Нокаут","20, Minelli, Filatov, Karas,   Rampampam Filatov & Karas Remix","20, Minelli, Filatov, Karas,   Rampampam Filatov & Karas Remix","20, Minelli, Filatov, Karas,   Rampampam Filatov & Karas Remix","20, Клава Кока & Руки Вверх!,   Нокаут ","20, MORGENSHTERN,   ДУЛО ","20, MORGENSHTERN,   ДУЛО ","20, MORGENSHTERN,   ДУЛО ","20, MORGENSHTERN,   ДУЛО ","20, MORGENSHTERN,   ДУЛО ","20, MORGENSHTERN,   ДУЛО ","20, Клава Кока & Руки Вверх!,   Нокаут ","20, MORGENSHTERN,   ДУЛО ","20, Клава Кока & Руки Вверх!,   Нокаут ","20, MORGENSHTERN,   ARISTOCRAT ","20, MORGENSHTERN,   ARISTOCRAT ","20, Ваня Дмитриенко,   Венера-Юпитер ","20, Alan Walker, Imanbek,   Sweet Dreams ","20, Ramil',   Сон ","20, Ramil',   Сон ","20, Two Feet,   Fire In My Head ","20, Two Feet,   Fire In My Head ","20, Two Feet,   Fire In My Head ","20, Two Feet,   Fire In My Head ","20, Two Feet,   Fire In My Head ","20, Ramil',   Сон ","20, Dabro,   На часах ноль-ноль "
