,Unnamed: 0,Unnamed: 0.1,2021-06-03,2021-06-04,2021-06-05,2021-06-06,2021-06-07,2021-06-08,2021-06-09,2021-06-10,2021-06-11,2021-06-12,2021-06-13,2021-06-14,2021-06-15,2021-06-16,2021-06-17,2021-06-18,2021-06-18 18:57:53.235886,2021-06-19 09:01:19.140573
29,29,29,"30, MORGENSHTERN, GTA","30, MORGENSHTERN, GTA","30, kizaru, Дежавю","30, MORGENSHTERN, DINERO","30, fem.love, Фотографирую закат","30, MORGENSHTERN, HUBLOT","30, MORGENSHTERN, HUBLOT","30, OG Buda, ГАНЬГ Аутро (feat. Bushido Zho, Scally Milano, MAYOT, Magnum Opus, SEEMEE, YUNGWAY)","30, OG Buda, ГАНЬГ Аутро (feat. Bushido Zho, Scally Milano, MAYOT, Magnum Opus, SEEMEE, YUNGWAY)","30, MORGENSHTERN, Leck","30, fem.love, Фотографирую закат","30, MORGENSHTERN, Leck","30, The Limba, Ронин","30, MORGENSHTERN, OLALA","30, Eldzhey, Candy Flip","30, OG Buda, Старшие (feat. Polyana)","29, OG Buda, Старшие (feat. Polyana)","29, OG Buda, Старшие (feat. Polyana)"
30,30,30,"31, PlayaPhonk, PHONKY TOWN","31, PlayaPhonk, PHONKY TOWN","31, OG Buda, ГАНЬГ Аутро (feat. Bushido Zho, Scally Milano, MAYOT, Magnum Opus, SEEMEE, YUNGWAY)","31, MORGENSHTERN, HUBLOT","31, MORGENSHTERN, Leck","31, MORGENSHTERN, Leck","31, MORGENSHTERN, Leck","31, kizaru, Дежавю","31, MORGENSHTERN, DINERO","31, kizaru, Дежавю","31, MORGENSHTERN, PABLO","31, The Limba, Ронин","31, MORGENSHTERN, Leck","31, Yanix, Стейк","31, Basta, Ты была права","31, Basta, Ты была права","30, SODA LUV, Бигасс","30, SODA LUV, Бигасс"
31,31,31,"32, OG Buda, ГАНЬГ Аутро (feat. Bushido Zho, Scally Milano, MAYOT, Magnum Opus, SEEMEE, YUNGWAY)","32, OG Buda, ГАНЬГ Аутро (feat. Bushido Zho, Scally Milano, MAYOT, Magnum Opus, SEEMEE, YUNGWAY)","32, OG Buda, Старшие (feat. Polyana)","32, fem.love, Фотографирую закат","32, SLAVA MARLOW, ТЫ ГОРИШЬ КАК ОГОНЬ","32, PlayaPhonk, PHONKY TOWN","32, OG Buda, ГАНЬГ Аутро (feat. Bushido Zho, Scally Milano, MAYOT, Magnum Opus, SEEMEE, YUNGWAY)","32, MORGENSHTERN, DINERO","32, kizaru, Moulin Rouge (feat. JABO)","32, MORGENSHTERN, DINERO","32, OG Buda, Сайфер (feat. Егор Крид, SODA LUV & MAYOT)","32, kizaru, Дежавю","32, MORGENSHTERN, PABLO","32, kizaru, Дежавю","32, OG Buda, Сайфер (feat. Егор Крид, SODA LUV & MAYOT)","32, OG Buda, Добро Пожаловать (Prod. by wex & treepside)","31, Basta, Ты была права","31, Basta, Ты была права"
32,32,32,"33, OG Buda, Старшие (feat. Polyana)","33, OG Buda, Старшие (feat. Polyana)","33, PlayaPhonk, PHONKY TOWN","33, Go_A, SHUM","33, Max Korzh, Аттестат","33, kizaru, Дежавю","33, OG Buda, Старшие (feat. Polyana)","33, OG Buda, Старшие (feat. Polyana)","33, SLAVA MARLOW, ТЫ ГОРИШЬ КАК ОГОНЬ","33, OG Buda, Добро Пожаловать (Prod. by wex & treepside)","33, GONE.Fludd, Плохая Сука","33, SLAVA MARLOW, ТЫ ГОРИШЬ КАК ОГОНЬ","33, kizaru, Дежавю","33, Eldzhey, Candy Flip","33, MORGENSHTERN, Leck","33, MORGENSHTERN, Leck","32, kizaru, Дежавю","32, kizaru, Дежавю"
33,33,33,"34, kizaru, Дежавю","34, kizaru, Дежавю","34, SLAVA MARLOW, ТЫ ГОРИШЬ КАК ОГОНЬ","34, Billie Eilish, Lost Cause","34, Go_A, SHUM","34, SLAVA MARLOW, ТЫ ГОРИШЬ КАК ОГОНЬ","34, kizaru, Дежавю","34, MORGENSHTERN, HUBLOT","34, OG Buda, Старшие (feat. Polyana)","34, SLAVA MARLOW, ТЫ ГОРИШЬ КАК ОГОНЬ","34, MORGENSHTERN, Leck","34, OG Buda, Добро Пожаловать (Prod. by wex & treepside)","34, OG Buda, Добро Пожаловать (Prod. by wex & treepside)","34, MORGENSHTERN, PABLO","34, MORGENSHTERN, PABLO","34, MORGENSHTERN, PABLO","33, MORGENSHTERN, PABLO","33, MORGENSHTERN, PABLO"
34,34,34,"35, MORGENSHTERN, Я КОГДА-НИБУДЬ УЙДУ","35, MORGENSHTERN, Я КОГДА-НИБУДЬ УЙДУ","35, OG Buda, Добро Пожаловать (Prod. by wex & treepside)","35, MORGENSHTERN, Leck","35, kizaru, Дежавю","35, OG Buda, ГАНЬГ Аутро (feat. Bushido Zho, Scally Milano, MAYOT, Magnum Opus, SEEMEE, YUNGWAY)","35, PlayaPhonk, PHONKY TOWN","35, SLAVA MARLOW, ТЫ ГОРИШЬ КАК ОГОНЬ","35, PlayaPhonk, PHONKY TOWN","35, PlayaPhonk, PHONKY TOWN","35, OG Buda, Добро Пожаловать (Prod. by wex & treepside)","35, OG Buda, Сайфер (feat. Егор Крид, SODA LUV & MAYOT)","35, SLAVA MARLOW, ТЫ ГОРИШЬ КАК ОГОНЬ","35, DVRST, Close Eyes","35, OG Buda, Добро Пожаловать (Prod. by wex & treepside)","35, kizaru, Дежавю","34, MORGENSHTERN, Leck","34, MORGENSHTERN, Leck"
35,35,35,"36, SLAVA MARLOW, ТЫ ГОРИШЬ КАК ОГОНЬ","36, SLAVA MARLOW, ТЫ ГОРИШЬ КАК ОГОНЬ","36, MORGENSHTERN, GTA","36, kizaru, Дежавю","36, OG Buda, ГАНЬГ Аутро (feat. Bushido Zho, Scally Milano, MAYOT, Magnum Opus, SEEMEE, YUNGWAY)","36, Go_A, SHUM","36, SLAVA MARLOW, ТЫ ГОРИШЬ КАК ОГОНЬ","36, PlayaPhonk, PHONKY TOWN","36, MORGENSHTERN, HUBLOT","36, Mekhman, Копия пиратская","36, kizaru, Дежавю","36, Basta, Ты была права","36, OG Buda, Сайфер (feat. Егор Крид, SODA LUV & MAYOT)","36, OG Buda, Добро Пожаловать (Prod. by wex & treepside)","36, kizaru, Дежавю","36, OG Buda, Сайфер (feat. Егор Крид, SODA LUV & MAYOT)","35, OG Buda, Добро Пожаловать (Prod. by wex & treepside)","35, OG Buda, Добро Пожаловать (Prod. by wex & treepside)"
36,36,36,"37, OG Buda, Добро Пожаловать (Prod. by wex & treepside)","37, OG Buda, Добро Пожаловать (Prod. by wex & treepside)","37, MORGENSHTERN, Я КОГДА-НИБУДЬ УЙДУ","37, Scriptonite, Будьте здоровы","37, PlayaPhonk, PHONKY TOWN","37, OG Buda, Старшие (feat. Polyana)","37, Go_A, SHUM","37, OG Buda, Добро Пожаловать (Prod. by wex & treepside)","37, OG Buda, Добро Пожаловать (Prod. by wex & treepside)","37, Eldzhey, Candy Flip","37, Zivert, Рокки","37, GONE.Fludd, Плохая Сука","37, PlayaPhonk, PHONKY TOWN","37, The Limba, Ронин","37, The Limba, Ронин","37, Minelli, Rampampam","36, OG Buda, Сайфер (feat. Егор Крид, SODA LUV & MAYOT)","36, OG Buda, Сайфер (feat. Егор Крид, SODA LUV & MAYOT)"
37,37,37,"38, Manizha, RUSSIAN WOMAN","38, Manizha, RUSSIAN WOMAN","38, Korol i Shut, Кукла колдуна","38, MORGENSHTERN, NOMINALO","38, MORGENSHTERN, NOMINALO","38, MORGENSHTERN, NOMINALO","38, OG Buda, Добро Пожаловать (Prod. by wex & treepside)","38, Mekhman, Копия пиратская","38, Mekhman, Копия пиратская","38, MORGENSHTERN, HUBLOT","38, MORGENSHTERN, DINERO","38, Korol i Shut, Кукла колдуна","38, GONE.Fludd, Плохая Сука","38, OG Buda, Сайфер (feat. Егор Крид, SODA LUV & MAYOT)","38, PlayaPhonk, PHONKY TOWN","38, MORGENSHTERN, DINERO","37, Minelli, Rampampam","37, Minelli, Rampampam"
38,38,38,"39, SLAVA MARLOW, КОМУ ЭТО НАДО?","39, SLAVA MARLOW, КОМУ ЭТО НАДО?","39, SLAVA MARLOW, КОМУ ЭТО НАДО?","39, PlayaPhonk, PHONKY TOWN","39, OG Buda, Старшие (feat. Polyana)","39, Mekhman, Копия пиратская","39, Mekhman, Копия пиратская","39, Go_A, SHUM","39, Korol i Shut, Кукла колдуна","39, kizaru, Moulin Rouge (feat. JABO)","39, SLAVA MARLOW, ТЫ ГОРИШЬ КАК ОГОНЬ","39, PlayaPhonk, PHONKY TOWN","39, Eldzhey, Candy Flip","39, SLAVA MARLOW, ТЫ ГОРИШЬ КАК ОГОНЬ","39, Yanix, Стейк","39, PlayaPhonk, PHONKY TOWN","38, MORGENSHTERN, DINERO","38, MORGENSHTERN, DINERO"
39,39,39,"40, Doja Cat, Kiss Me More (feat. SZA)","40, Doja Cat, Kiss Me More (feat. SZA)","40, kizaru, Stick Out","40, OG Buda, ГАНЬГ Аутро (feat. Bushido Zho, Scally Milano, MAYOT, Magnum Opus, SEEMEE, YUNGWAY)","40, Korol i Shut, Кукла колдуна","40, OG Buda, Добро Пожаловать (Prod. by wex & treepside)","40, MORGENSHTERN, NOMINALO","40, Korol i Shut, Кукла колдуна","40, Eldzhey, Candy Flip","40, Korol i Shut, Кукла колдуна","40, PlayaPhonk, PHONKY TOWN","40, Eldzhey, Candy Flip","40, Korol i Shut, Кукла колдуна","40, PlayaPhonk, PHONKY TOWN","40, MORGENSHTERN, DINERO","40, Ramil', Сон","39, SLAVA MARLOW, ТЫ ГОРИШЬ КАК ОГОНЬ","39, SLAVA MARLOW, ТЫ ГОРИШЬ КАК ОГОНЬ"
40,40,40,"41, MORGENSHTERN, ПАПИН ТАНК","41, MORGENSHTERN, ПАПИН ТАНК","41, Doja Cat, Kiss Me More (feat. SZA)","41, OG Buda, Старшие (feat. Polyana)","41, Scriptonite, Будьте здоровы","41, Korol i Shut, Кукла колдуна","41, MAYOT, Снег","41, Ramil', Сон","41, Ramil', Сон","41, Ramil', Сон","41, Eldzhey, Candy Flip","41, MORGENSHTERN, DINERO","41, MORGENSHTERN, DINERO","41, Ramil', Сон","41, Ramil', Сон","41, SLAVA MARLOW, ТЫ ГОРИШЬ КАК ОГОНЬ","40, PlayaPhonk, PHONKY TOWN","40, PlayaPhonk, PHONKY TOWN"
41,41,41,"42, Ramil', Сон","42, Ramil', Сон","42, Ramil', Сон","42, Mekhman, Копия пиратская","42, Mekhman, Копия пиратская","42, Max Korzh, Аттестат","42, Korol i Shut, Кукла колдуна","42, MAYOT, Снег","42, Go_A, SHUM","42, Scriptonite, Положение","42, Mekhman, Копия пиратская","42, MORGENSHTERN, Cristal & МОЁТ","42, Ramil', Сон","42, GONE.Fludd, Плохая Сука","42, SLAVA MARLOW, ТЫ ГОРИШЬ КАК ОГОНЬ","42, Yanix, Стейк","41, Korol i Shut, Кукла колдуна","41, Korol i Shut, Кукла колдуна"
42,42,42,"43, kizaru, Stick Out","43, kizaru, Stick Out","43, Manizha, RUSSIAN WOMAN","43, OG Buda, Добро Пожаловать (Prod. by wex & treepside)","43, OG Buda, Добро Пожаловать (Prod. by wex & treepside)","43, MORGENSHTERN, Cristal & МОЁТ","43, Ramil', Сон","43, Scriptonite, Положение","43, Scriptonite, Положение","43, OG Buda, Сайфер (feat. Егор Крид, SODA LUV & MAYOT)","43, Korol i Shut, Кукла колдуна","43, Zivert, Рокки","43, Mekhman, Копия пиратская","43, Minelli, Rampampam","43, GONE.Fludd, Плохая Сука","43, Korol i Shut, Кукла колдуна","42, Ramil', Сон","42, Ramil', Сон"
43,43,43,"44, Korol i Shut, Кукла колдуна","44, Korol i Shut, Кукла колдуна","44, Benedixhion, toxin","44, SLAVA MARLOW, ТЫ ГОРИШЬ КАК ОГОНЬ","44, MORGENSHTERN, Cristal & МОЁТ","44, Doja Cat, Kiss Me More (feat. SZA)","44, MORGENSHTERN, Cristal & МОЁТ","44, MORGENSHTERN, Cristal & МОЁТ","44, MORGENSHTERN, Cristal & МОЁТ","44, MAYOT, Снег","44, Ramil', Сон","44, Mekhman, Копия пиратская","44, Benedixhion, toxin","44, MORGENSHTERN, DINERO","44, Minelli, Rampampam","44, Mekhman, Копия пиратская","43, Mekhman, Копия пиратская","43, Mekhman, Копия пиратская"
44,44,44,"45, Scriptonite, Будьте здоровы","45, Scriptonite, Будьте здоровы","45, Scriptonite, Положение","45, Korol i Shut, Кукла колдуна","45, Doja Cat, Kiss Me More (feat. SZA)","45, Ramil', Сон","45, Scriptonite, Будьте здоровы","45, Doja Cat, Kiss Me More (feat. SZA)","45, Benedixhion, toxin","45, Go_A, SHUM","45, MORGENSHTERN, HUBLOT","45, Ramil', Сон","45, MORGENSHTERN, Cristal & МОЁТ","45, Korol i Shut, Кукла колдуна","45, Mekhman, Копия пиратская","45, Scriptonite, Положение","44, Scriptonite, Положение","44, Scriptonite, Положение"
45,45,45,"46, Scriptonite, Положение","46, Scriptonite, Положение","46, MORGENSHTERN, Cristal & МОЁТ","46, FEDUK, Песня про лето","46, Ramil', Сон","46, Scriptonite, Будьте здоровы","46, Max Korzh, Аттестат","46, Eldzhey, Candy Flip","46, MAYOT, Снег","46, MORGENSHTERN, Cristal & МОЁТ","46, Scriptonite, Положение","46, Scriptonite, Положение","46, Scriptonite, Положение","46, Mekhman, Копия пиратская","46, Korol i Shut, Кукла колдуна","46, The Limba, Ронин","45, Yanix, Стейк","45, Yanix, Стейк"
46,46,46,"47, TOMORROW X TOGETHER, 0X1=LOVESONG (I Know I Love You) feat. Seori","47, TOMORROW X TOGETHER, 0X1=LOVESONG (I Know I Love You) feat. Seori","47, SODA LUV, ХОТБОКС (prod. by Young Royce)","47, Ramil', Сон","47, MORGENSHTERN, GTA","47, Benedixhion, toxin","47, Doja Cat, Kiss Me More (feat. SZA)","47, MORGENSHTERN, NOMINALO","47, kizaru, Stick Out","47, Doja Cat, Kiss Me More (feat. SZA)","47, MORGENSHTERN, Cristal & МОЁТ","47, Benedixhion, toxin","47, DVRST, Close Eyes","47, Zivert, Рокки","47, Scriptonite, Положение","47, GONE.Fludd, Плохая Сука","46, The Limba, Ронин","46, The Limba, Ронин"
47,47,47,"48, MORGENSHTERN, PULL UP","48, MORGENSHTERN, PULL UP","48, SODA LUV, Коми","48, Doja Cat, Kiss Me More (feat. SZA)","48, Billie Eilish, Lost Cause","48, Scriptonite, Положение","48, Scriptonite, Положение","48, Benedixhion, toxin","48, Doja Cat, Kiss Me More (feat. SZA)","48, Benedixhion, toxin","48, Benedixhion, toxin","48, Doja Cat, Kiss Me More (feat. SZA)","48, Zivert, Рокки","48, Benedixhion, toxin","48, Benedixhion, toxin","48, Benedixhion, toxin","47, Pretty Scream, Ты","47, Pretty Scream, Ты"
48,48,48,"49, MORGENSHTERN, Cristal & МОЁТ","49, MORGENSHTERN, Cristal & МОЁТ","49, MORGENSHTERN, ПАПИН ТАНК","49, kizaru, Stick Out","49, kizaru, Stick Out","49, MORGENSHTERN, GTA","49, Benedixhion, toxin","49, kizaru, Stick Out","49, MORGENSHTERN, NOMINALO","49, kizaru, Stick Out","49, Doja Cat, Kiss Me More (feat. SZA)","49, Minelli, Rampampam","49, Minelli, Rampampam","49, Doja Cat, Kiss Me More (feat. SZA)","49, Zivert, Рокки","49, Pretty Scream, Ты","48, Benedixhion, toxin","48, Benedixhion, toxin"
49,49,49,"50, Benedixhion, toxin","50, Benedixhion, toxin","50, Алла Пугачева, София Ротару",,,,,,,,,,,,,,"49, GONE.Fludd, Плохая Сука","49, GONE.Fludd, Плохая Сука"
